script	grapheme	unicode	IPA	comment	source	omniglot
Buryat	А	U+0410	a		Sanzheev 1962	
Buryat	Аа	U+0430 U+0430	aː		Sanzheev 1962	
Buryat	Ай	U+0410 U+0439	aɛ		Sanzheev 1962	
Buryat	Б	U+0411	b		Sanzheev 1962
Buryat	В	U+0412	v		Sanzheev 1962	
Buryat	Г	U+0425	ɣ	в словах с гласными заднего ряда	Sanzheev 1962	
Buryat	Г	U+0425	g	в словах с гласными переднего ряда	Sanzheev 1962	
Buryat	Д	U+0414	d		Sanzheev 1962	
Buryat	Е	U+0415	jɛ		Sanzheev 1962	
Buryat	Еэ	U+0415 U+044D	jɛː		Sanzheev 1962	
Buryat	Ё	U+0401	jo		Sanzheev 1962	
Buryat	Ёо	U+0401 U+043E	joː		Sanzheev 1962	
Buryat	Ж	U+0416	ʒ		Sanzheev 1962	
Buryat	З	U+0417	z		Sanzheev 1962	
Buryat	И	U+0418	i		Sanzheev 1962	
Buryat	Ии	U+0418	iː		Sanzheev 1962	
Buryat	Й	U+0419	j		Sanzheev 1962	
Buryat	Л	U+041B	l		Sanzheev 1962	
Buryat	М	U+041C	m		Sanzheev 1962	
Buryat	Н	U+041D	n		Sanzheev 1962	
Buryat	О	U+041E	o		Sanzheev 1962	
Buryat	Ой	U+043E U+0439	oɛ		Sanzheev 1962	
Buryat	Оо	U+041E U+043E	oː		Sanzheev 1962	
Buryat	П	U+041F	p		Sanzheev 1962	
Buryat	Р	U+0420	r		Sanzheev 1962	
Buryat	С	U+0421	s		Sanzheev 1962	
Buryat	Т	U+0422	t		Sanzheev 1962	
Buryat	У	U+0423	u		Sanzheev 1962	
Buryat	Уй	U+0423 U+0439	uɪ		Sanzheev 1962	
Buryat	Уу	U+0423 U+0443	uː		Sanzheev 1962	
Buryat	Х	U+0425	x	в словах с гласными переднего ряда	Sanzheev 1962	
Buryat	Х	U+0425	χ	в словах с гласными заднего ряда	Sanzheev 1962	
Buryat	Ш	U+0428	ʃ		Sanzheev 1962	
Buryat	Э	U+042D	ɛ		Sanzheev 1962	
Buryat	Эй	U+042D U+0439	ɛː		Sanzheev 1962	
Buryat	Ээ	U+042D U+044D	ɛː		Sanzheev 1962	
Buryat	Ю	U+042E	ju		Sanzheev 1962	
Buryat	Ю	U+042E	jʉ		Sanzheev 1962	
Buryat	Юу	U+042E U+0443	juː		Sanzheev 1962	
Buryat	Юу	U+042E U+0443	jʉː		Sanzheev 1962	
Buryat	Я	U+042F	ja		Sanzheev 1962	
Buryat	Яа	U+042F U+0430	jaː		Sanzheev 1962	
Buryat	а	U+0430	a		Sanzheev 1962	
Buryat	аа	U+0430 U+0430	аː		Sanzheev 1962	
Buryat	ай	U+0430 U+0439	aɛ		Sanzheev 1962	
Buryat	б	U+0431	b	в абсолютном начале слова	Sanzheev 1962	
Buryat	б	U+0431	β	в интервокальной позиции	Sanzheev 1962	
Buryat	в	U+0432	v		Sanzheev 1962	
Buryat	г	U+0445	ɣ	в словах с гласными заднего ряда	Sanzheev 1962	
Buryat	г	U+0445	g	в словах с гласными переднего ряда	Sanzheev 1962	
Buryat	д	U+0434	d		Sanzheev 1962	
Buryat	е	U+0435	jɛ		Sanzheev 1962	
Buryat	еэ	U+0435 U+044D	jɛː		Sanzheev 1962	
Buryat	ё	U+0451	jo		Sanzheev 1962	
Buryat	ёо	U+0451 U+043E	joː		Sanzheev 1962	
Buryat	ж	U+0436	ʒ		Sanzheev 1962	
Buryat	з	U+0437	z		Sanzheev 1962	
Buryat	и	U+0438	i		Sanzheev 1962	
Buryat	ии	U+0438	iː		Sanzheev 1962	
Buryat	й	U+0439	j		Sanzheev 1962	
Buryat	л	U+043B	l		Sanzheev 1962	
Buryat	м	U+043C	m		Sanzheev 1962	
Buryat	н	U+043D	n		Sanzheev 1962	
Buryat	н	U+043D	ŋ	в абсолютном конце слова, а также  перед г	Sanzheev 1962	
Buryat	о	U+043E	o		Sanzheev 1962	
Buryat	ой	U+043E U+0439	oɛ		Sanzheev 1962	
Buryat	оо	U+043E U+043E	oː		Sanzheev 1962	
Buryat	п	U+043F	p		Sanzheev 1962	
Buryat	р	U+0440	r		Sanzheev 1962	
Buryat	с	U+0441	s		Sanzheev 1962	
Buryat	т	U+0442	t		Sanzheev 1962	
Buryat	у	U+0443	u		Sanzheev 1962	
Buryat	уй	U+0443 U+0439	uɪ		Sanzheev 1962	
Buryat	уу	U+0443 U+0443	uː		Sanzheev 1962	
Buryat	х	U+0445	x	в словах с гласными переднего ряда	Sanzheev 1962	
Buryat	х	U+0445	χ		Sanzheev 1962	
Buryat	ш	U+0448	ʃ		Sanzheev 1962	
Buryat	ы	U+0448	ɨː		Sanzheev 1962	
Buryat	э	U+044D	ɛ		Sanzheev 1962	
Buryat	эй	U+044D U+0439	ɛː		Sanzheev 1962	
Buryat	ээ	U+044D U+044D	ɛː		Sanzheev 1962	
