script	grapheme	unicode	IPA	comment	source	omniglot	contributor
Kri	A	U+0041	a		Enfield, Diffloth 2009: 8-34	http://omniglot.com/writing/kri.htm	Daria Demkina
Kri	a	U+0061	a		Enfield, Diffloth 2009: 8-34	http://omniglot.com/writing/kri.htm	Daria Demkina
Kri	aa	U+0061 U+0061	aː		Enfield, Diffloth 2009: 8-34	http://omniglot.com/writing/kri.htm	Daria Demkina
Kri	E	U+0045	ɛ		Enfield, Diffloth 2009: 8-34	http://omniglot.com/writing/kri.htm	Daria Demkina
Kri	e	U+0065	ɛ		Enfield, Diffloth 2009: 8-34	http://omniglot.com/writing/kri.htm	Daria Demkina
Kri	ee	U+0065 U+0065	ɛː		Enfield, Diffloth 2009: 8-34	http://omniglot.com/writing/kri.htm	Daria Demkina
Kri	I	U+0049	i		Enfield, Diffloth 2009: 8-34	http://omniglot.com/writing/kri.htm	Daria Demkina
Kri	i	U+0069	i		Enfield, Diffloth 2009: 8-34	http://omniglot.com/writing/kri.htm	Daria Demkina
Kri	ii	U+0069 U+0069	iː		Enfield, Diffloth 2009: 8-34	http://omniglot.com/writing/kri.htm	Daria Demkina
Kri	O	U+004F	ɔ		Enfield, Diffloth 2009: 8-34	http://omniglot.com/writing/kri.htm	Daria Demkina
Kri	o	U+006F	ɔ		Enfield, Diffloth 2009: 8-34	http://omniglot.com/writing/kri.htm	Daria Demkina
Kri	oo	U+006F U+006F	ɔː		Enfield, Diffloth 2009: 8-34	http://omniglot.com/writing/kri.htm	Daria Demkina
Kri	Ô	U+00D4	ɑ		Enfield, Diffloth 2009: 8-34	http://omniglot.com/writing/kri.htm	Daria Demkina
Kri	ô	U+00F4	ɑ		Enfield, Diffloth 2009: 8-34	http://omniglot.com/writing/kri.htm	Daria Demkina
Kri	ôô	U+00F4 U+00F4	ɑː		Enfield, Diffloth 2009: 8-34	http://omniglot.com/writing/kri.htm	Daria Demkina
Kri	B	U+0042	ɓ		Enfield, Diffloth 2009: 8-34	http://omniglot.com/writing/kri.htm	Daria Demkina
Kri	b	U+0062	ɓ		Enfield, Diffloth 2009: 8-34	http://omniglot.com/writing/kri.htm	Daria Demkina
Kri	C	U+0043	c	На конце слова cˀ	Enfield, Diffloth 2009: 8-34	http://omniglot.com/writing/kri.htm	Daria Demkina
Kri	c	U+0063	c	На конце слова cˀ	Enfield, Diffloth 2009: 8-34	http://omniglot.com/writing/kri.htm	Daria Demkina
Kri	D	U+0044	ɗ		Enfield, Diffloth 2009: 8-34	http://omniglot.com/writing/kri.htm	Daria Demkina
Kri	d	U+0064	ɗ		Enfield, Diffloth 2009: 8-34	http://omniglot.com/writing/kri.htm	Daria Demkina
Kri	Gh	U+0047 U+0068	ɣ		Enfield, Diffloth 2009: 8-34	http://omniglot.com/writing/kri.htm	Daria Demkina
Kri	gh	U+0067 U+0068	ɣ		Enfield, Diffloth 2009: 8-34	http://omniglot.com/writing/kri.htm	Daria Demkina
Kri	H	U+0048	h		Enfield, Diffloth 2009: 8-34	http://omniglot.com/writing/kri.htm	Daria Demkina
Kri	h	U+0068	h		Enfield, Diffloth 2009: 8-34	http://omniglot.com/writing/kri.htm	Daria Demkina
Kri	J	U+004A	j~ʝ		Enfield, Diffloth 2009: 8-34	http://omniglot.com/writing/kri.htm	Daria Demkina
Kri	j	U+006A	j~ʝ		Enfield, Diffloth 2009: 8-34	http://omniglot.com/writing/kri.htm	Daria Demkina
Kri	K	U+004B	kˀ		Enfield, Diffloth 2009: 8-34	http://omniglot.com/writing/kri.htm	Daria Demkina
Kri	k	U+006B	kˀ		Enfield, Diffloth 2009: 8-34	http://omniglot.com/writing/kri.htm	Daria Demkina
Kri	Kh	U+004B U+0068	kʰ		Enfield, Diffloth 2009: 8-34	http://omniglot.com/writing/kri.htm	Daria Demkina
