script	grapheme	unicode	IPA	comment	source	omniglot
Nanai	А	U+0410	a		Avrorin 1959: 66-70	
Nanai	А	U+0410	aː		Avrorin 1959: 66-70	
Nanai	Ай	U+0410 U+0439	ae		Avrorin 1959: 66-70	
Nanai	Аи	U+0410 U+0438	ae		Avrorin 1959: 66-70	
Nanai	Ао	U+0410 U+043E	ao		Avrorin 1959: 66-70	
Nanai	а	U+0430	a		Avrorin 1959: 66-70	
Nanai	а	U+0430	аː		Avrorin 1959: 66-70	
Nanai	ай	U+0430 U+0439	ae		Avrorin 1959: 66-70	
Nanai	аи	U+0430 U+0438	ae		Avrorin 1959: 66-70	
Nanai	ан	U+0430 U+043D	aⁿ		Avrorin 1959: 66-70	
Nanai	ао	U+0430 U+043E	ao		Avrorin 1959: 66-70	
Nanai	аон	U+0430 U+043E U+043D	aoⁿ		Avrorin 1959: 66-70	
Nanai	аин	U+0430 U+0438 U+043D	aeⁿ		Avrorin 1959: 66-70	
Nanai	Б	U+0411	b		Avrorin 1959: 66-70	
Nanai	б	U+0431	b		Avrorin 1959: 66-70	
Nanai	В	U+0412	β		Avrorin 1959: 66-70	
Nanai	в	U+0432	β		Avrorin 1959: 66-70	
Nanai	Г	U+0413	g		Avrorin 1959: 66-70	
Nanai	г	U+0433	g		Avrorin 1959: 66-70	
Nanai	Д	U+0414	d		Avrorin 1959: 66-70	
Nanai	Д	U+0414	d͡ʒ	в позиции перед е, ё, и, ю, я	Avrorin 1959: 66-70	
Nanai	д	U+0434	d		Avrorin 1959: 66-70	
Nanai	д	U+0434	d͡ʒ	в позиции перед е, ё, и, ю, я	Avrorin 1959: 66-70	
Nanai	Е	U+0415	jə		Avrorin 1959: 66-70	
Nanai	е	U+0435	jə		Avrorin 1959: 66-70	
Nanai	е	U+0435	ə	в позиции после д и н	Avrorin 1959: 66-70	
Nanai	ей	U+0435 U+0439	əi		Avrorin 1959: 66-70	
Nanai	еу	U+0435 U+0443	əu		Avrorin 1959: 66-70	
Nanai	еин	U+0435 U+0438 U+043D	əiⁿ		Avrorin 1959: 66-70	
Nanai	еун	U+0435 U+0443 U+043D	əuⁿ		Avrorin 1959: 66-70	
Nanai	Ё	U+0401	jo		Avrorin 1959: 66-70	
Nanai	ё	U+0451	jo		Avrorin 1959: 66-70	
Nanai	ё	U+0451	o	в позиции после д и н	Avrorin 1959: 66-70	
Nanai	ё	U+0451	oː		Avrorin 1959: 66-70	
Nanai	ён	U+0451 U+043D	oⁿ		Avrorin 1959: 66-70	
Nanai	ёй	U+0451 U+0439	oi		Avrorin 1959: 66-70	
Nanai	ёа	U+0451 U+0430	oa		Avrorin 1959: 66-70	
Nanai	ёин	U+0451 U+0438 U+043D	oiⁿ		Avrorin 1959: 66-70
Nanai	ёан	U+0451 U+0430 U+043D	oaⁿ		Avrorin 1959: 66-70	
Nanai	И	U+0418	i		Avrorin 1959: 66-70	
Nanai	И	U+0418	iː		Avrorin 1959: 66-70	
Nanai	И	U+0418	e		Avrorin 1959: 66-70	
Nanai	И	U+0418	eː		Avrorin 1959: 66-70	
Nanai	И	U+0418	ji		Avrorin 1959: 66-70	
Nanai	И	U+0418	je		Avrorin 1959: 66-70	
Nanai	и	U+0438	i		Avrorin 1959: 66-70	
Nanai	и	U+0438	iː		Avrorin 1959: 66-70	
Nanai	и	U+0438	e		Avrorin 1959: 66-70	
Nanai	и	U+0438	eː		Avrorin 1959: 66-70	
Nanai	и	U+0438	ji		Avrorin 1959: 66-70	
Nanai	и	U+0438	je		Avrorin 1959: 66-70	
Nanai	ин	U+0438 U+043D	iⁿ		Avrorin 1959: 66-70	
Nanai	ин	U+0438 U+043D	eⁿ		Avrorin 1959: 66-70	
Nanai	иэ	U+0438 U+044D	iə		Avrorin 1959: 66-70	
Nanai	иу	U+0438 U+0443	iu		Avrorin 1959: 66-70	
Nanai	иа	U+0438 U+0430	ia		Avrorin 1959: 66-70	
Nanai	ио	U+0438 U+043E	io		Avrorin 1959: 66-70	
Nanai	иэн	U+0438 U+044D U+043D	iəⁿ		Avrorin 1959: 66-70	
Nanai	иун	U+0438 U+0443 U+043D	iəⁿ		Avrorin 1959: 66-70	
Nanai	иан	U+0438 U+0430 U+043D	iəⁿ		Avrorin 1959: 66-70	
Nanai	ион	U+0438 U+043E U+043D	iəⁿ		Avrorin 1959: 66-70	
Nanai	К	U+041A	k		Avrorin 1959: 66-70	
Nanai	к	U+043A	k		Avrorin 1959: 66-70	
Nanai	Л	U+041B	l		Avrorin 1959: 66-70	
Nanai	л	U+043B	l		Avrorin 1959: 66-70	
Nanai	М	U+041C	m		Avrorin 1959: 66-70	
Nanai	м	U+043C	m		Avrorin 1959: 66-70	
Nanai	Н	U+041D	n		Avrorin 1959: 66-70	
Nanai	Н	U+041D	ɲ	в позиции перед е, ё, и, ю, я	Avrorin 1959: 66-70	
Nanai	н	U+043D	n		Avrorin 1959: 66-70	
