script	grapheme	unicode	IPA	comment	source	omniglot	contributor
Khmer	ក	U+1780	k̥	Относится к первой группе согласных - глухой	Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ខ	U+1781	k̥ʰ	Произносится без голоса	Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	គ	U+1782	k	Относится ко второй группе согласных - звонкий. В конце слова может произноситься как [ʔ].	Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឃ	U+1783	kʰ	Произносится с голосом	Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ង	U+1784	ŋ	Вторая группа	Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ច	U+1785	c̥	Первая группа	Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឆ	U+1786	c̥ʰ	Первая группа	Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ជ	U+1787	c	Вторая группа	Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឈ	U+1788	cʰ	Вторая группа	Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ញ	U+1789	ɲ	Вторая группа	Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ដ	U+178A	ɗ	В конце слова может быть [t̪]. Первая группа	Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឋ	U+178B	t̪ʰ	Первая группа	Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឌ	U+178C	ɗ	Вторая группа	Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឍ	U+178D	t̪ʰ	Вторая группа	Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ណ	U+178E	n̪	Первая группа	Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ត	U+178F	t̪/ɗ	Первая группа	Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ថ	U+1790	t̪ʰ	На конце слова [t̪]. Первая группа	Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ទ	U+1791	t		Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ធ	U+1792	tʰ		Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ន	U+1793	n		Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ប	U+1794	ɓ		Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ផ	U+1795	pʰ	Первая группа	Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ព	U+1796	p		Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ភ	U+1797	pʰ	Вторая группа (с голосом)	Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ម	U+1798	m		Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	យ	U+1799	j		Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	រ	U+179A	r		Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ល	U+179B	l̪		Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	វ	U+179C	ʋ		Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ស	U+179F	s		Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ហ	U+17A0	h		Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឡ	U+17A1	l̪		Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	អ	U+17A2	ʔ		Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឣ	U+17A3	ɑː	С согласными второй группы: ɔː	Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឤ	U+17A4	aː	С согласными второй группы: iə	Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឣិ	U+17A3 U+17B7	eʔ, e, ə	С согласными второй группы имеет звук: iʔ, i, ɨ	Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឣី	U+17A3 U+17B8	əj	С согласными второй группы: iː	Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឣឹ	U+17A3 U+17B9	ə	С согласными второй группы: ɨ	Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឣឺ	U+17A3 U+17BA	əɨ	С согласными второй группы: ɨː	Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឣុ	U+17A3 U+17BB	o	С согласными второй группы: u	Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឣូ	U+17A3 U+17BC	ou	С согласными второй группы: uː	Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឣួ	U+17A3 U+17BD	uə		Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឣូវ	U+17A3 U+17BC U+179C	əw	С согласными второй группы: ɨw	Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឣើ	U+179A U+17A3 U+17B8	aə	С согласными второй группы: əː	Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឣឿ	U+17BF U+17A3	ɨə		Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឣៀ	U+17C0 U+17A3	iə		Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឣេ	U+17C1 U+17A3	ei, ə	С согласными второй группы: eː, ɨ	Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឣែ	U+17C2 U+17A3	ae	С согласными второй группы: ɛː	Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឣៃ	U+17C3 U+17A3	aj	С согласными второй группы: ɨj	Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឣោ	U+17C4 U+17A3	ao	С согласными второй группы: oː	Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឣៅ	U+17C5 U+17A3	aw	С согласными второй группы: ɨw	Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឣុំ	U+17A3 U+17C6 U+17BB	om	С согласными второй группы: um	Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឣំ	U+17A3 U+17C6	ɑm	С согласными второй группы: um	Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឣាំ	U+17A3 U+17B6 U+17C6	am	С согласными второй группы: oə̯m	Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឣះ	U+17A3 U+17C7	ah	С согласными второй группы: eah	Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឣិះ	U+17A3 U+17B7 U+17C7	eh	С согласными второй группы: ih	Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឣុះ	U+17A3 U+17BB U+17C7	oh	С согласными второй группы: uh	Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឣេះ	U+17C1 U+17A3 U+17C7	eh	С согласными второй группы: ih	Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឣោះ	U+17C4 U+17A3 U+17C7	ɑh	С согласными второй группы: uəh	Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឥ	U+17A5	e, i, əi		Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឦ	U+17A6	ʔəj		Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឧ	U+17A7	oʔ, uʔ		Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឨ	U+17A8	(obsolete)		Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឩ	U+17A9	ʔuː		Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឪ	U+17AA	ʔɨw		Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឫ	U+17AB	ʔrɨʔ		Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឬ	U+17AC	ʔrɨː		Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឭ	U+17AD	ʔlɨʔ		Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឮ	U+17AE	ʔlɨː		Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឯ	U+17AF	ʔae, ʔɛː, ʔeː		Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឰ	U+17B0	ʔaj		Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឱ, ឲ	U+17B1, U+17B2	ʔaːo		Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
Khmer	ឳ	U+17B3	ʔaw		Gorgoniev 1966: 13-39	http://omniglot.com/writing/khmer.htm	Daria Demkina
